topic_name,sentiment_score
Financial Regulation & Corporate Scandals,-0.5817184643510055
"COVID-19, Manufacturing & Labor Markets",-0.4246420497362472
Aviation & Air Transportation,-0.24432576769025366
US-China Trade War & Geopolitics,-0.22416169039963252
Banking & Financial Services,-0.20336943441636582
Macroeconomy & Financial Markets,-0.19420958237253394
Automotive Industry & Corporate Leadership,-0.18325859491778773
Oil & Energy Markets,-0.16368563685636855
Corporate Earnings & Equity Markets,-0.09583858764186633
Big Tech & Digital Platforms,-0.04261025029797378
International Trade & Economic Policy,0.006702974444909929
Mergers & Acquisitions,0.21975992613111728
