topic_id,keywords
0,"gains, fell, high, central bank, stock, world, record, dollar, market, bank, data, central, rate, rates, investors, markets, fed, federal reserve, economic, federal, reserve, growth, wall street, trade, china, street, wall, economy, global, stocks"
1,"trading, cuts, job, ryanair, bayer, short, capital, long, credit, british, term, funds, pay, york, new york, home, big, london, exchange, crisis, jpmorgan, financial, cash, investors, bank, america, stock, new, market, banks"
2,"lufthansa, federal, united, plane, flight, travel, airways, grounded, planemaker, crash, planes, carrier, order, safety, new, hong kong, kong, hong, jets, aviation, flights, jet, boeing max, aircraft, airline, airbus, air, max, airlines, boeing"
3,"xi, deal, trump says, lawmakers, talks, billion, story, adviser, beijing, china trade, tariff, goods, trump administration, says, imports, trade war, white house, administration, white, war, house, chinese, tariffs, president donald, donald trump, trade, donald, president, china, trump"
4,"vehicle, plans, management, told, fund, technologies, sachs, goldman sachs, head, maker, cars, executive officer, carmaker, musk, says, goldman, chairman, german, car, volkswagen, officer, board, new, electric, huawei, tesla, ceo, chief executive, executive, chief"
5,"washington, government, secretary, dispute, tariffs, chinese, steel, official, britain, new, foreign, trade talks, brexit, agreement, european union, says, eu, trade deal, mexico, canada, minister, european, union, talks, deal, china, united states, states, united, trade"
6,"disney, giant, stores, digital, delivery, launch, users, india, social, alphabet, food, business, walmart, world, media, eu, antitrust, technology, service, tech, mobile, market, online, data, corp, google, new, facebook, apple, amazon"
7,"general motors, sales, spread, amid, auto, carlos ghosn, korea, hit, carlos, coronavirus crisis, motors, virus, covid, plant, crisis, workers, ford, new, japan, production, china, ghosn, south, coronavirus outbreak, coronavirus pandemic, nissan, motor, outbreak, pandemic, coronavirus"
8,"market, second quarter, hit, self, costs, results, beat, wall street, sending, wall, ride, demand, street, driving, higher, corp, second, earnings, reported, growth, expected, estimates, forecast, uber, revenue, quarterly, quarter, profit, sales, shares"
9,"plans, bid, china, euros, unit, sell, fund, merger, business, people familiar, softbank, fiat chrysler, sale, chrysler, firm, fiat, france, people, talks, corp, renault, familiar matter, buy, stake, familiar, french, matter, million, deal, billion"
10,"petroleum, oil gas, exxon, producer, producers, venezuela, cuts, saudi aramco, cut, russian, state, global, production, aramco, demand, saudi arabia, arabia, gas, output, sanctions, iran, russia, opec, supply, oil prices, crude, energy, saudi, prices, oil"
11,"wells, money, watchdog, familiar, commission, securities, matter, prosecutors, department, charges, investigation, scandal, reported citing, regulator, bloomberg, financial, lawsuit, case, citing, german, judge, federal, deutsche bank, probe, pay, reported, deutsche, million, court, bank"
